latitude,longitude
41.984323, -114.672137
41.983594, -114.672400
41.982635, -114.672808
41.982325, -114.672939
41.981193, -114.673251
41.981025, -114.673306
41.980708, -114.673408
41.980100, -114.673540
41.979882, -114.673576
41.979571, -114.673627
41.979079, -114.673772
41.978016, -114.674087
41.963610, -114.675163
41.951932, -114.680178
41.951698, -114.680418
41.950325, -114.681569
41.948976, -114.682856
41.947151, -114.684286
41.944814, -114.686164
41.943821, -114.686694
41.943565, -114.686855
41.935713, -114.691158
41.926246, -114.694924
41.916550, -114.698566
41.911832, -114.700315
41.907380, -114.702024
41.907243, -114.701993
41.901137, -114.704165
41.897729, -114.705328
41.879592, -114.710286
41.874507, -114.710915
41.861432, -114.712686
41.859488, -114.712899
41.839597, -114.720637
41.837237, -114.721424
41.835362, -114.721698
41.831935, -114.723207
41.827351, -114.725486
41.799156, -114.738000
41.790419, -114.742454
41.789938, -114.742790
41.786915, -114.744478
41.772758, -114.752093
41.769626, -114.753684
41.757897, -114.759742
41.754415, -114.761650
41.752415, -114.763685
41.750948, -114.765307
41.750833, -114.765551
41.743529, -114.773856
41.735023, -114.789098
41.717374, -114.805532
41.714347, -114.808336
41.705611, -114.816699
41.704854, -114.817476
41.704125, -114.818225
41.693052, -114.825942
41.685206, -114.827752
41.684785, -114.827815
41.678453, -114.828751
41.676081, -114.829076
41.671558, -114.829296
41.670918, -114.829876
41.656236, -114.834324
41.655365, -114.834677
41.653354, -114.834598
41.652390, -114.836470
41.650638, -114.838198
41.647847, -114.839731
41.647691, -114.839905
41.643107, -114.841250
41.640248, -114.841575
41.637409, -114.843484
41.629475, -114.849466
41.629292, -114.849466
41.613344, -114.870188
41.603850, -114.904253
41.603158, -114.906535
41.612833, -114.939947
41.613860, -114.941229
41.639192, -114.964184
41.659419, -114.980488
41.669055, -114.989654
41.667749, -114.993435
41.667819, -114.994337
41.670927, -115.012536
41.671796, -115.014934
41.675048, -115.023056
41.675032, -115.023676
41.674082, -115.032880
41.676291, -115.046725
41.676299, -115.047737
41.681559, -115.056499
41.691637, -115.072936
41.691889, -115.073200
41.694216, -115.083800
41.694425, -115.084409
41.689023, -115.082448
41.676298, -115.096925
41.669733, -115.125576
41.666842, -115.127561
41.665477, -115.127723
41.665065, -115.127754
41.658745, -115.174118
41.656622, -115.181619
41.657100, -115.187781
41.657328, -115.188819
41.655407, -115.195411
41.653328, -115.196637
41.649577, -115.195272
41.645732, -115.195710
41.639785, -115.199978
41.639526, -115.199714
41.628090, -115.205907
41.625550, -115.208543
41.624911, -115.208859
41.601759, -115.214288
41.601378, -115.214628
41.597697, -115.213801
41.600189, -115.218222
41.583910, -115.230589
41.587277, -115.267572
41.584814, -115.272785
41.587011, -115.275434
41.594995, -115.280304
41.594967, -115.281650
41.596505, -115.299376
41.598162, -115.302101
41.600243, -115.306399
41.600535, -115.306903
41.598363, -115.323451
41.591591, -115.332499
41.591682, -115.332803
41.587524, -115.338536
41.589261, -115.348862
41.588498, -115.352637
41.579181, -115.357593
41.578820, -115.359881
41.577151, -115.357535
41.575344, -115.356803
41.568633, -115.375898
41.562285, -115.383882
41.561745, -115.385079
41.559557, -115.386770
41.555677, -115.390543
41.550210, -115.389208
41.547137, -115.386303
41.536531, -115.380496
41.524752, -115.387467
41.522640, -115.389610
41.504205, -115.405199
41.499009, -115.405673
41.496715, -115.405508
41.494302, -115.409583
41.489128, -115.411120
41.480006, -115.415401
41.473742, -115.414342
41.469909, -115.413095
41.469952, -115.413282
41.473649, -115.417580
41.473913, -115.417959
41.480899, -115.427623
41.482836, -115.432527
41.497435, -115.441999
41.498305, -115.442177
41.504840, -115.446564
41.509932, -115.449752
41.497792, -115.468244
41.491390, -115.472021
41.477882, -115.483744
41.462786, -115.492231
41.462627, -115.492527
41.457548, -115.493618
41.439359, -115.500543
41.438876, -115.501380
41.437940, -115.503701
41.437780, -115.503883
41.434012, -115.519024
41.429370, -115.523282
41.425939, -115.523193
41.425019, -115.521952
41.411939, -115.521653
41.409009, -115.522080
41.385142, -115.514696
41.380316, -115.531126
41.373441, -115.562798
41.367469, -115.571477
41.356832, -115.583105
41.338585, -115.579060
41.337776, -115.578709
41.337449, -115.579286
41.337541, -115.580512
41.337586, -115.596454
41.337772, -115.602525
41.334361, -115.609505
41.329272, -115.613871
41.321543, -115.625244
41.322295, -115.633871
41.322644, -115.637668
41.322578, -115.644738
41.323568, -115.648544
41.323747, -115.649293
41.321714, -115.660215
41.311799, -115.685240
41.302982, -115.701087
41.308706, -115.716286
41.310089, -115.721141
41.310320, -115.722842
41.309855, -115.726715
41.309280, -115.727089
41.295588, -115.724564
41.294970, -115.724746
41.292277, -115.736177
41.291489, -115.742889
41.289812, -115.748006
41.287227, -115.756633
41.289039, -115.768035
41.287534, -115.781109
41.293667, -115.788204
41.293667, -115.788780
41.282664, -115.792757
41.282183, -115.827846
41.282298, -115.828999
41.282251, -115.836308
41.284122, -115.853384
41.285332, -115.859936
41.289522, -115.875912
41.289922, -115.877235
41.293039, -115.889183
41.298238, -115.904772
41.298217, -115.911476
41.296199, -115.913195
41.295037, -115.913995
41.287785, -115.914423
41.277036, -115.924742
41.275659, -115.926340
41.263789, -115.937868
41.262352, -115.939802
41.259465, -115.941447
41.258252, -115.941659
41.255552, -115.943417
41.255124, -115.943366
41.250518, -115.948179
41.247822, -115.948887
41.239442, -115.952930
41.237072, -115.951111
41.232175, -115.960778
41.225310, -115.967594
41.223907, -116.013478
41.224507, -116.015127
41.227119, -116.016624
41.230137, -116.022830
41.230247, -116.023202
41.232080, -116.030231
41.234130, -116.033625
41.235262, -116.034866
41.238237, -116.041411
41.243501, -116.053040
41.248138, -116.060785
41.248329, -116.060869
41.257452, -116.088188
41.258932, -116.090583
41.264092, -116.097570
41.271669, -116.112059
41.275557, -116.114639
41.275838, -116.115264
41.281733, -116.116524
41.296537, -116.143221
41.298040, -116.147763
41.300433, -116.162362
41.301305, -116.165174
41.302424, -116.169157
41.302632, -116.191396
41.302653, -116.208992
41.302598, -116.212308
41.299518, -116.213481
41.291785, -116.213417
41.288840, -116.213440
41.285062, -116.213470
41.282770, -116.214900
41.261854, -116.237734
41.260932, -116.239125
41.257702, -116.243938
41.255738, -116.248116
41.253460, -116.250923
41.251686, -116.251289
41.236166, -116.254820
41.226034, -116.256380
41.225338, -116.271221
41.225450, -116.271735
41.226084, -116.274646
41.225302, -116.287146
41.224418, -116.290362
41.211815, -116.320991
41.210646, -116.324331
41.209060, -116.326548
41.208540, -116.334176
41.208733, -116.335197
41.208582, -116.368126
41.208460, -116.370592
41.208185, -116.371380
41.201251, -116.380531
41.200767, -116.383083
41.200658, -116.383658
41.203479, -116.409726
41.202501, -116.424674
41.201884, -116.427098
41.204801, -116.430981
41.208071, -116.442397
41.209600, -116.445984
41.211493, -116.462092
