Population Profit intercept regression
6,1101 17,592 6,1101 3,49629915738108
5,5277 9,1302 5,5277 2,81700972454564
8,5186 13,662 8,5186 6,30548287816433
7,0032 11,854 7,0032 4,53797737246579
5,8598 6,8233 5,8598 3,20435866109208
8,3829 11,886 8,3829 6,14720750722379
7,4764 4,3483 7,4764 5,08990003664459
8,5781 12 8,5781 6,37488143800929
6,4862 6,5987 6,4862 3,93496803734229
5,0546 3,8166 5,0546 2,26520369660187
5,7107 3,2522 5,7107 3,03045403465705
14,164 15,505 14,164 12,8900648907488
5,734 3,1551 5,734 3,05763027741987
8,4084 7,2258 8,4084 6,17694974715735
5,6407 0,71618 5,6407 2,94880867013356
5,3794 3,5129 5,3794 2,64403818799087
6,3654 5,3048 6,3654 3,79407146542175
5,1301 0,56077 5,1301 2,35326405405221
6,4296 3,6518 6,4296 3,8689519283133
7,0708 5,3893 7,0708 4,61682346734847
6,1891 3,1386 6,1891 3,58844178305759
20,27 21,767 20,27 20,0118734018979
5,4901 4,263 5,4901 2,77315450017302
6,3261 5,1875 6,3261 3,74823342505357
5,5649 3,0825 5,5649 2,86039840397812
18,945 22,638 18,945 18,4664432877032
12,828 13,501 12,828 11,3318047907005
10,957 7,0467 10,957 9,14954083322261
13,176 14,692 13,176 11,7376988886173
22,203 24,147 22,203 22,2664518250966
5,2524 -1,22 5,2524 2,49591016949825
6,5894 5,9966 6,5894 4,05533663189692
9,2482 12,134 9,2482 7,15646084896917
5,8918 1,8495 5,8918 3,24168225630282
8,2111 6,5426 8,2111 5,94682645543614
7,9334 4,5623 7,9334 5,62292763074795
8,0959 4,1164 8,0959 5,81246151267748
5,6063 3,3928 5,6063 2,90868580528201
12,836 10,117 12,836 11,3411356895032
6,3534 5,4974 6,3534 3,78007511721773
5,4069 0,55657 5,4069 2,6761131526251
6,8825 3,9115 6,8825 4,39719743678028
11,708 5,3854 11,708 10,0254789583246
5,7737 2,4406 5,7737 3,10393486272819
7,8247 6,7318 7,8247 5,49614404326647
7,0931 1,0463 7,0931 4,64283334776096
5,0702 5,1337 5,0702 2,28339894926711
5,8014 1,844 5,8014 3,13624309983249
11,7 8,0043 11,7 10,0161480595219
5,5416 1,0179 5,5416 2,8332221612153
7,5402 6,7504 7,5402 5,164313954596
5,3077 1,8396 5,3077 2,56041000747181
7,4239 4,2885 7,4239 5,02866601325197
7,6031 4,9981 7,6031 5,2376781464321
6,3328 1,4233 6,3328 3,75604805280081
6,3589 -1,4211 6,3589 3,78649011014457
6,2742 2,4756 6,2742 3,68769921907115
5,6397 4,6042 5,6397 2,94764230778322
9,3102 3,9624 9,3102 7,22877531468998
9,4536 5,4141 9,4536 7,3960316757281
8,8254 5,1694 8,8254 6,66332284724729
5,1793 -0,74279 5,1793 2,41064908168872
21,279 17,929 21,279 21,1887330133865
14,908 12,054 14,908 13,7578384793985
18,959 17,054 18,959 18,4827723606079
7,2182 4,8852 7,2182 4,78874527778794
8,2951 5,7442 8,2951 6,04480089286433
10,236 7,7754 10,236 8,30859357863066
5,4994 1,0173 5,4994 2,78400167003114
20,341 20,992 20,341 20,0946851287717
10,136 6,6799 10,136 8,1919573435971
7,3345 4,0259 7,3345 4,92439321913197
6,0062 1,2784 6,0062 3,37511410918121
7,2259 3,3411 7,2259 4,79772626788552
5,0269 -2,6807 5,0269 2,23289545949758
6,5479 0,29678 6,5479 4,006932594358
7,5386 3,8845 7,5386 5,16244777483546
5,0365 5,7014 5,0365 2,2440925380608
10,274 6,7526 10,274 8,35291534794341
5,1077 2,0576 5,1077 2,32713753740469
5,7292 0,47953 5,7292 3,05203173813826
5,1884 0,20421 5,1884 2,42126297907677
6,3557 0,67861 6,3557 3,7827577506235
9,7687 7,5435 9,7687 7,76355245231884
6,5159 5,3436 6,5159 3,96960899914726
8,5172 4,2415 8,5172 6,30384997087386
9,1802 6,7981 9,1802 7,07714820914635
6,002 0,92695 6,002 3,3702153873098
5,5204 0,152 5,5204 2,80849527938819
5,0594 2,8214 5,0594 2,27080223588348
5,7077 1,8451 5,7077 3,02695494760604
7,6366 4,2959 7,6366 5,27675128516834
5,8707 7,2029 5,8707 3,21707201071074
5,3054 1,9869 5,3054 2,55772737406604
8,2934 0,14454 8,2934 6,04281807686876
13,394 9,0551 13,394 11,9919658809904
5,4369 0,61705 5,4369 2,71110402313517
